Comments,Ratings
"I wanted to stay here so bad cause of the pool. We booked a room through agoda, the hoel policy is protery can have 2 adults and 2 children or 3 aldults. But we were told only 2, so one of us had to book another hotel. Check in time was so late, 3pm we were so tired of waiting cause we did go around 4 days ago before deciding rest here a day. View was great but the pool wasn't like my expectation. So crowded and staff was rude. I don't know, just feel wasting my money to stay here. Room price could take me a trip to Bali where is more beautiful, better service. Disappointed",1
This hotel is maybe the best that I have ever seen so far. The customer service was impeccable and the quality of the room was up to standard.   The swimming pool is on top of the building and is very exciting swimming over there.  YOu should be a guest in the hotel to have the access to the swimming pool.,5
Great views from the observation deck all across Singapore city. Worth the money to see such scenery plus being able to see the infinity pool. Only downside is there is nowhere to sit to take it all in,4
"We have just arrive home having stayed at Marina Bay Sands Hotel.  This is an amazing hotel and we had a Garden View.   All staff at the hotel was amazing and a few of them took the time to remember our name.  Our room was very spacious and clean.  We did ask for the top shelf in the fridge to be cleared so we can store water and our own stuff - they did so with no problems.  We also found the bed to be very comfortable.  The infinity pool is a whole new experience......we were there every day and did a little bit of swimming as well as taking selfies.  We tend to arrive around 4pm and didn't seem to be too crowded.  In the evenings, we would have coffee/cocktails at Renku and here we found the staff extremely friendly and knowledgable, especially Valentino.....he knows…",5
I suggest that this observation platform is a must see in Singapore. At $23 a head but $20 for seniors - with no need to provide identification - it is good value because it gives an unrivalled view of the city and a much higher one than the Flyer. If you plan on going to the rooftop restaurant then make sure that you get the voucher before you ascend. Otherwise you have to go back down to the ground floor in order to use the café.,4
"This hotel is definitely a must see! Our very first time in Singapore and simply put, I was impressed! MBS can be a bit overwhelming, but in a good way! There are lots of restaurants, eateries, and shopping but I always think it’s good to have options!  Upon our arrival, Grace checked us in with a smile, answered all our questions and even wished me a Happy birthday when she noticed this was my birthday month :) we were celebrating our honeymoon, and Singapore just happened to fall in our laps and I’m so glad it did!  Our room was a city view so we were actually able to watch the water and light show from our room every night! It was cleaned to pristine condition every day and if we needed anything, a phone call and five minutes later it was at our door! This was very shocking…",5
"Most Beautiful hotel in Singapore,World Class luxury you can find here.Marina Bay mall inside the hotel have many world class big brands shops ,Casino where thousands of people come and Play.Louis Vuitton showroom just outside mall adds luxury touch to the Marina Bay.Infinity pool provided top of the view of Singapore.Must place to visit Marina Bay if you are going to Singapore as its the middle of Singapore from where you can See Merlion Tiger Statue ,watershow and Night view of Singapore.",5
"This hotel is definitely one for the bucket list! The infinity pool was like nothing I’d seen before!  Staff were super friendly, rooms were nice and everything seemed pretty easy.  We had a room that overlooked the gardens so at night the view from our room was amazing!  Will definitely be coming back. ",5
"Came to the marina sands bay just for one night mainly to experience the outstanding view and the infinity pool and that was expensive but definitely worth it! The pool is absolutely amazing, the view is great during the day and night, the staff at the front desk and pool area were extremely kind and helpful, although the rooms are a little expensive i would recommend the harbor view or city view at the higher floors even for part of your stay - the view is just beautiful. Make sure you read deeply the terms and conditions for the infinity pool before ordering the rooms and try the non alcoholic coconut cocktail near the pool. At evening the spectra water show in frnt of the pool is a must! Overall- highly recommend!",5
"The service was average as any other 5* hotel - nothing extra ordinary. The room I had was on the 29 floor and the view was amazing from the room and it was facing the river.  The best highlight of the hotel was the amazing rooftop pool! Loved everything about it. it gets slightly crowded so, manage your timing well. The local and amenities was perfect.",5
"Most famous hotel in Singapore (or maybe in the whole World). The view is amazing from the top, the pool gives you a great refreshment.  The staff is helpful, but the the hotel is a bit too expensive for an average traveller.",4
It's a building that is iconic and one I pass by on my regular visits to Singapore. Stayed for a night as part of an anniversary trip. The experience was just a bit sterile. It's such a busy place that check in was highly functional and impersonal. I guess that's the consequence of 2400 rooms. The guest room was very clean and comfortable but again functional and not warm and inviting. Love the swimming pool and views. Expensive for what you get and compared to other luxury hotels in the city. Happy to have stayed there but will stick to my usual hotel in Clarke Quay,4
"Nice view, environment, location, staff and anything. This place just wonderful, actually I can’t write it all in here, even this columns is not enough to tell how i feel and how is my experience in there!!!",5
"The area is amazing. I would recommend going there at sunset so you could see it both during the day and at night. The views are stunning. If you go up, you'll see the rest of the city, if you go on the other side of the lake you'll find some very good spots for photos of the Marina Bay Sands, together with the Lotus. Wherever you choose, it's too beautiful to be missed.",5
"We stayed here last year during the Singapore F1 Grand Prix and had a very enjoyable time. We decided to stay again this year and booked what we thought was a similar room. Last year we stayed on level 35 and enjoyed excellent views of the city and the bay and when we booked this time asked the travel agent to book us on at least level 20 or above and with views of the bay, rather than the gardens. We were told they couldn't guarantee either the level or the side of the hotel on even though we were booking 9 months in advance!! When we arrived the agent on the desk said he would see what he would do about getting the best room available as we were staying for a week - we ended up on level 12. Nice enough room, but nothing special, especially for the price. The week went well,…",4
"The view at the pool is breathtaking and the club room is the best and the most spacious around. The breakfast spread is good and the crowd is well managed. Also, it has the best smelling shampoo and liquid soap! I would say expect the best for everything, the bed, the food, the sound proofing, the bath etc.",4
"We had a Premier King City View Room. Loved this place. Location was outstanding, service was really good. Quality was great, I used the gym and thought it was fantastic and the service there was good too. We used the roof top pool a couple times and my fiancé loved it. Only downsides were the price of course (but you expect it for this and just treat it as a special occasion) and the fridge in the room was full with for sale products and as soon as you remove them you get charged and there’s no room for our stuff...you have to pay $10 to rent another fridge. Also if they could find a way to stop people just leaving their towels on the pool deck chairs all day then that would make it more fair for everyone.  Overall though I don’t give many 5 star reviews but am happy to here.",5
"Pleasantly surprised by the sheer size of the room, variety of yummilicious food at Club 55 and helpfulness of the staff... the room was very clean and tidy.. easily fitted our family of four.. though one thing to note is that there is no lock for the bathroom.. ",5
"I have to say its a beautiful place to visit and chill. The only issue, its hard to find a place to park our bike. However , the main point I would love to highlight are the service of management team as they have been very helpful and professional with their work. During my visit here a week ago, my friend had lost his wallet. Some of the employees in the future world gallery did help me to look around.Honestly its a little hard to find a really good service in Singapore compared to other country I have visited. Anyway,there is one particular person I would love to thank from the security team member  whose name is Rajes for reporting my lost wallet to the team immediately and updating me the status of my lost wallet. Fortunately, the wallet is found on the day itself at an…",4
"Great location, Fantastic pool and sky deck it is really the best thing about this hotel.  The rooms are clean and tidy but not fantastic. Make sure you get a city view room for a great view.  Handy if you love gambling as it sits ontop of the casino which is open 24 hours. Its also right next door to the Shoppes which has every designer store you can imagine and more.",4
"We stayed here for one night. We reached early and were given a room at 9 am. We had to however compromise with a lower floor room with no view but with kids we opted for that. However getting a room at 9 am was amazing with no extra charge.  Hotel is huge and you have many things to do within and near by the property. The only benefit you get of staying in this hotel is you have free access to sky view and infinity pool. Sky view is open for outsiders with a paid ticket but infinity pool is only for hotel guests. You have easy access to the mall, gardens by the bay and science art museum. Breakfast is the most lavish I have had. Their chefs are amazing and full marks for that.  I however felt that the rooms are slightly highly priced and if you are not keen on the infinity pool…",4
"We stayed for just one night at this hotel. Our experience overall was not a good one. It is a massive complex - 3 hotels combined into one. The foyer is much like a vast shopping mall with all the noise and hustle and bustle that goes with such an establishment. Check-in was slow and ponderous, we had to queue in a line that felt as though we were in a supermarket. The room was comfortable with good views over Singapore and we were ideally situated to observe the impressive light show at 8pm from our room. Facilities in the room were adequate but no more than I would expect for a so-called 5 star hotel. There is no turn down service which is surprising given the rather expensive nightly cost of this hotel. The customer service at this hotel is poor to say the least, we did not…",2
I stayed at this hotel a while ago and yeah nice view average room cool pool ( I thought I would fall off the pool and die) but oh ma lord the price on this hotel is hiiiggghhhh you can get nicer hotel. Final conclusion ........ bad value,3
"This was our first time at this hotel and wow what a place! We booked into a Premium King Sky Room and very impressed. We were in tower 1 on the 40th floor (4075 is a good room for views). We had a great view of across the city and bay right in front of the laser light show that is on every night. The restaurants there were also great (for a different review) but what stood out for us was the service. We splashed out for this hotel for my birthday (15th) and we booked a restaurant. The concierge asked if it was a special occasion and my wife mentioned my birthday (no big deal for me just happy to get away somewhere). This was obviously relayed throughout the team because that afternoon, a couple of staff turned up at our room with a bottle of champagne and a cake. They even sang…",5
"The infinity pool and the hot water pools are a must Great to chill out with a drink  Feel relaxed and chilled out A must visit in a life time Casino is fun,rooms are big and modern with all amenities  Great place to shop and lots of choices available ",5
"Obviously in a minority with my views - superficially it is wonderful and would provide most things that many would love. The rooms are a reasonable size, are clean and well presented. HOWEVER: being so large, everywhere is a huge distance to walk, whether you go to the restaurants in the casino building, or perhaps a walk to the Gardens by the Bay, every aspect is inconvenient. The lifts are a nightmare - huge numbers of people stay here, they have few lifts operating and consequently they stop at so many floors and are very slow. For the gardens, you actually have to do a circumference of the hotel to then go in the opposite direction for the gardens - very poor design, While the swimming pool is a huge appeal, hard to actually swim; everyone is in the pool to do selfies of…",3
"Location is amazing to visit the Marina, as well as Merlioz, gardens, city, etc. Wonderful views, spectacular building. Very poor and low quality breakfast. Swimming pool is a mess. 2.400 bedrooms says it all. ",3
"눉Furniture is getting old. At check in we booked for 4, 2 adults + 2 kids, and paid for it. However, room was only 1 bed for 4. The receptionist went to tell us a long story about trying to find a solution. In short no 2 queens in 1 room, end up with a sofa bed. Ok, but cut us the crap or do not sell rooms for 4   눇Location is great, in the middle of what we wanted to visit. Great shopping mall, food quartiers, great views (we were on sky view bedroom +40). However, breakfast was terrible expensive for what is offered which is 3 star quality. Food was not extensive, no good quality. Pastry awful. Swimming pool has outstanding views but is a total mess with so many people attracted that is like going to a street demonstration, not pleasant, not enjoyable, yes views. Pass. Not…",3
"Building is iconic and the rooms nice, but the hotel is incredibly expensive and fails to deliver on some the basics.  Internet is TERRIBLE - you constantly need to login again. And one of the 2 keys I was given at check in never worked and the other one failed during my visit. Colleagues had similar experienced.  Unfortunate. ",1
"The service was just great, wonderful staff. very reliable butler service. Good choices food choices during breakfast, afternoon tea and cocktails at Club55. plus the scenic view of Singapore from everywhere (suite, Club55, Skypark, Infinity Pool). ",5
"Choose to stay here if you want to experience pure luxury, fun and to tick an iconic building off your bucket list.   We chose to stay here while traveling from Europe to New Zealand. We got off a long flight and were exhausted. From the moment our taxi pulled up at the door we were treated like royalty. Everything was simple, efficient and felt very personable for such a mega-industry. Our receptionist upgraded our room to a suite which was spectacular. I loved our time there and would stay again.   The best parts: The building itself is spectacular. The rooftop pool is amazing and not as scary as anticipated. Great for photos! The suite has beautiful spacious rooms and many amenities. The staff were all very courteous. The hotel is also adjacent to a lovely mall with many…",5
"An iconic hotel with epic form with plenty of glass to public areas. Lofty majestic spaces, good sized rooms with great views of the harbour.  Adjacent is the convention centre and a shopping mall boasting an almost endless array of shops with overpriced materialistic purchases. The hotel has three towers with a common central atrium at ground level which can be accessed from the street at either end. The Internal atrium provides direct access to the marina bay sands shopping complex and gardens (lift is outside on the shopping mall side).  Hi speed lifts to clean and spacious rooms. Bed was near the harder end of the scale, pillows soft, air con a little noisy, sliding glass doors to a small balcony, great views mine being harbour facing looking over the gardens.   The Infinity…",5
"I was so happy with my experience and would really recommend this hotel to everyone!! I have stayed in a few five stars hotels and never have I ever experienced the service that I got at marina bay. It was superb from start to finish. I am currently travelling the world with my boyfriend so you could imagine how we rocked up to check in, casual wear and big rucksacks! I thought we'd be a little out of our depth and frowned upon but we had the opposite! The hotel was so welcoming and a gentlemen immediately come up to us to take our bags whilst we checked in. As you can imagine Singapore can get very hot, whilst we were waiting in a short queue we were offered drinks and complimentary ice-creams which was a lovely surprise. We checked in nice and easy and the lady that checked us…",5
"MY husband treated me to two nights for my 60th..... OMG what an experience.   I cannot praise the staff highly enough for their attention to details and service and friendly and so helpful.  OKY it was expensive and we went for the package that included afternoon tea, drinks and canapés .... all you can eat.  What a superb selection. The presention.  Oh and those views from the 56 floor.  Absolutely stunning whilst being. Pampered.   Oh, and in that cost was access to the infinity pool etc.    Then we got to our room.....OMG..... the views. The room was stunning .... the decor, the luxuriously exquisite accessories, the stunning bathroom.... all I can say is I wish I could win the lottery to stay for weeks.   We love it.   We are having another stay next year when i return for…",5
"One of my bucket list fulfilled! Had a great time enjoying the views of garden by the bay through my hotel balcony.  The infinity pool is a must try for some instagram worthy poses. Great facilities, superb staff.  I will be glad to come back with the whole family!",5
stayed at the hotel for 1 night to break up the flight from WA to the UK. when booking a couple of months ago i did state that our flight was a n early one and would arrive at Marina Bay approx 8am and to the hotels creditr they did reply saying that they would have a room ready for us if one was available when we got there. guess what? there was no room ready but was told to go back to reception at 10am as they would have a room for us!! we booked the luggage in and with a tempory pass we we able to go upto the roof to use the pool facilities and order food and drinks if we wanted. we had seen pictures and read reviews about the roof's infinity pool and we were not diappointed. we ordered some drinks which my wife had a Singapore Sling at 9am!!!  went back down to reception at…,4
"I stayed at this hotel on a business trip.  Let's just say that this is definitely one of the best hotel in Singapore, if not, the best.  Everything is excellent.  The room is spacious, fully carpeted. Furniture all in very good condition. The bed, pillow, comforter are all very comfortable. Good facilities.  The toilet doesn't have a bath tub...at least in the room that I was staying. They provided good amenities.  We stayed in Tower 3. There are 3 towers for the rooms.  The infinity swimming pool at level 57 is a must to visit, especially at night. The view is breath taking.  There are 3 restaurants to choose from for breakfast. They are either at Tower 1 or 2 area. None in Tower 3. Breakfast selection is excellent.  The hotel is connected to the MRT - just a quick walking…",5
"5 stars, 10/10. I admit being slightly skeptical after reading reviews on here, but this place blew away all expectations. The building itself is amazing, and you could spend hours just staring at it.   From the moment we checked in, everything was easy. We stayed in a club room with city views, just excellent. All of the staff were extremely friendly and helpful, I seriously could not fault a single one.   Club 55 was spectacular for breakfast and evening drinks and nibbles. For anyone who enjoys a beer, it is absolutely worth paying the extra money to have two hours of drinks included every night, alcohol is expensive in Singapore and you will more than get your money's worth with the club rooms. The view is spectacular and the staff amazing.   The pool is awesome, I don't…",5
"Thank you Marina Bay Sands for the excellent hotel experience my family had! Great room for my family of 4, fantastic staff, and awesome facility! Though it was only an overnight stay we didn't miss out on anything an ordinary family staycation could ever have experience especially my kids love, LOVE, love everything! The view it to die for!!! Thank you MBS for such an exceptional experience! Hoping for yet another come back in this hotel! ",5
"We were staying at the Marina Bay Sands for a night at the end of our holiday. As others already noted in their reviews the check-in process is rather quick. Our luggage was brought to our room (on the 27th floor) within 15 minutes. Unlike other reviews, we found the staff members to be really friendly and helpful. Also, we were addressed by name - which is the maximum you can expect in such a big hotel. Our room was of a decent size and quite modern, everything was in a good state and very clean - just as you'd expect from a 5-star hotel. When we tried the infinity pool we quickly found free deckchairs and were provided with towels. The view is amazing for sure! In-room dining worked quite well as well, was tasty, perfectly prepared and well priced. Wifi is available for free…",5
"We arrived on Oct 7 around 2pm. it's chaos at the tower entrance. We had to roll our luggage in and while I waited for my husband who's trying to check in, no one came to help carry luggage. As I stood there, a lady with a cart that looked like kitchen ware came by and instead of wheeling around me, she looked at me to signal that I needed to get out of her way at the concierge. I did.  As with everybody else who comes to this hotel, the pool was the purpose, so there were lots of ppl.  The pool was closed in the middle of the day when everyone wanted to go in...around 3 to 4pm with thunders and lightnings on Oct. 7. 2017. We returned later at 7:30pm and at 9pm and there was no towel services. The next morning, we went to the pool again and there was no services either. You need…",4
"Yes, I had expectations! I stayed at this hotel with the purpose of experiencing the architectural/engineering side of such an amazing building. Too bad the hotel aspects are so disappointing: filthy rooms, dirty swimming pool, total unpersonal reception.  Everything is administrated as a huge playground for big groups with lots of kids. Not the place for singles or couples looking for a luxury relaxing place.",2
Check in was speedy but the customer service was abrupt and rather rude. The premier room was well furnished and spacious with quality amenities and a great high floor view of the city. Beds super comfortable. We requested a baby cot which was not available because it's a first come first serve basis and because we checked in late we had missed the boat! We booked 5 months ago!  45 mins of complaining through 4 levels of managers and finally we get a cot. Not impressed.  Staff were all very friendly and professional. Food in all outlets over the 4 days was good. Roof top infinity pool was the highlight of the stay but not as wow as we expected.  Not sure we would stay again yet we would recommend for a one night stop over to tick the box with the city view and pool.,4
"I wont take away from the fact that this place is worth visiting once in your life and probably just for one day as i did. It is ridculasly expensive to stay there for even one night i paid 550 Singaporian Dollars for one night with roof top pool access. End of the day it felt merely like a status symbol and nothing more..   unfortunately our trip to this hotel felt ruined by the way the customer care staff spoke with us on the phone when we were needed to check out, but i guess it was just one those days and we got caught in it.   The managerial staff was helpful and resolved the situation",3
"I was my first time I had stayed in such an expensive hotel. I questioned myself continuously asking, ""At my age should I be spending this much money on a hotel room??? ""  But oh my goodness it was worth it!👌👌  They had actually started a new system when we arrived and check in took over 1 hour and the line was massive and continuously growing (I felt sorry for those who had come straight from the airport they must've been exhausted after their plane ride to stand for hours) However even with the system issue they were VERY professional. Handing out water, walking around to speed up the process as much as possible and asking people if they're okay!  In the end we got a room upgrade with a fantastic view! (I'm sure everyone else did too) I swear it was right in the middle and…",5
Too much people flowing around. good verbiage used but sounds “fake”. Restaurants food are nice but kind of pricey.  For a visit walk is good. Not for stay. Gardens by the bay are nearby walking distances ,3
What more you want to say . The greatest Place in Asia . Superb and stars on All elements . A Place must visit . Bit expensive but worth it . We had several Meals and snacks + drinks with friends over few days and thought to stay for overlong,5
"A perfect location for a visit of 1/2 nights, the time to take advantage of the infinity pool and one of the best view of the city. The reception is crazy but it's really efficient: we arrived in the morning and the room was not ready but they gave us a key to access to the infinity pool and the view terrace! The room was at the Tower 3 with a nice view of the botanic garden.",4
super awesome and great view from the top. Need to pay a fee to go to the roof for photos but worth it. lots of shopping option in the same building. the station is bayfront station and is accessible via the blue line.,5
"We booked a club55 room, breakfast included, for us and my daughter and once we arrived (after 12 hours flight), at reception they informed us that we need to pay for the child as nothing is included!!!!! Even it was completely differently booked.  Besides this, the breakfast is the same every morning, still with club 55 you have 3 restaurants. The rooms are cleaned but questionable. The view is fantastic but you can come only for this, no need to book the hotel.  There is a GAP between this hotel and similar hotels, same category of prices.",3
"This a spectacular hotel. The view of the bay is breathtaking.  We were on floor 30 facing east and you can see the Garden by the Bay outside our window. A few things you should know: 1. You are paying for the view. 2. You are paying for the convenience of the HUGE connected shopping mall, casino, expo center, restaurants and transit system which you can walk to (all indoors). 3. There is a stunning infinity pool. Bring your swimsuit and sunscreen. 4. The housekeeping services are great. 5. The concierge will make reservations for tours for you (I recommend the night safari). 6. You have the amazing marina bay walkway for sightseeing and a leisurely stroll. Make sure to see the light show (at night and get there early). 7. The architecture of this building is amazing to see and…",5
"We stayed here primarily for the pool and it was worth the experience   The service is exemplary and location is great. In the right rooms the view of the gardens at night is amazing but its really all about the rooftop  Its pricey, to stay and eat / drink but justifiable for a short stay  ",5
"SO let's be honest, if you're looking at this hotel, its probably for the skypark/pool. And rightfully so. it is an amazing architectural wonder with amazing views and an awesome pool. And you should stay here, for one night, to use that. then you should move to a higher quality, lower cost hotel for the rest of your stay in Singapore. That may seem brutally honest, but this hotel has no redeeming qualities. From drop off to check in their is nothing personal about the experience. You are just a number staying in their hotel. (much like staying at the large Vegas casinos) The rooms are very stark, with the only ting making them feel like a person has every stepped in was a towel animal. OF course a large property like this means lots of walking, so be prepared for a lot of…",3
"There are so many people, but checkin/ concierge process everybody very quickly. You sort of feel like cattle at checkin but it does the job. A world of amenities; although a bit far from Singapore central.",4
"When I arrived, I had to share the room 1 day with my work colleague. Once we entered the room, the curtain opened and we saw the perfect garden view. It was shocking in a positive way.  The other days, I changed to an individual room, and was the opposite view but also amazing! The swimming pool with infinite view is so beautiful! The skyline, the city view from there, are almost magical! The is a Ce La Vi restaurant at the rooftop, as some other restaurant.  The only thing I didn't like so much, is not having a place for breakfast. Yoi have to chose between some of the restaurant at the ground floor.",5
"We stayed at this hotel 2 days  in a very nice and expensive suite with a nice view over the city. The infinity pool is perfect, the stuff around is really friendly, the hotel itself is situated perfectly and you can reach some important attractions from here (art science museum, gardens by the bay, Merlion, flyer...). For the shopping lovers this hotel is also perfect. Nevertheless only 4 points because during our 2 days stay we had to call them 3 times as they forgot things agreed before, like Champagner & strawberries or the evening service.",4
"We stayed in this hotel for one night, on Friday. Overall we were very happy with our  stay. I just wish the prices were slightly lower as we paid stupid amount of money, just because it was the weekend. We chose this place mainly for the pool. Check in went smoothly and fast. Rooms are very nice but nothing what I haven’t seen before. We have received higher floor room but with Gardens by bay view, which was still amazing, and it had small balcony. The pool area is well secured, you need your room card to get in and out and there are always 2 members of staff by the entrance.    Water in the pool was rather cold which was surprise, I would expect heated swimming pool for the price I have paid! There is always plenty of people at the pool, at night and during a day but we still…",5
"I and my wife visited the hotel, and this is our dream hotel to stay during our honeymoon. Our expectation have met when our front staff Mark gave an excellent services to us. During our check in, he gave us warm hospitality, a great smile, very friendly attitude,  and a surprise amenities and gestures. I will recommend this hotel, the pool and skypark is perfect, room is very big and has a nice view. Thank you MBmarina Bay Sands. ",5
"Large rooms. Great breakfast with western and chinese food. The stasf was very helpffuly and calm. Rapid check-in. Express check-out We stay at Tower 1, 33 th floor. The views ate excellent. We will repeat!",4
"We - my wife and our two kids, 9 and 12 yrs., - stayed in the Marina Bay Sands for two days only. The pool area and the view from the roof top are spectacular and beyond compare. Rooms are nice and tidy, but not really outstanding. The breakfast was not really cheap, but worth the money.  What was really disappointing is the very unusual price policy of the hotel. My wife and I traveled with our kids and, thus, booked for 2 adults and 2 kids (and our email confirmation is for 2 adults and 2 kids). The room, however, only had one single king size bed, which was not really spacious enough for four people. Raising this to the reception, we were told that an extra bed would be charged at S$ 100 and that we would also need to pay the ""additional"" breakfast for the kids. We were also…",3
"You cannot missed this hotel when you are going to visit Singapore. Inside and outside of the hotel are wonderful. The hotel is famous because of the Infinity pool and it's amazing three towers. The hotel have shopping mall, theatre, celebrity Chef restaurants, skypark (observation deck) and attractive rooms. In addition you are getting a good service everywhere in this hotel. You come to MBS and experience it yourself 👍🏻👍🏻  PS. Hotel nearby to any public transportation and to any tourists attractions. Nearest would be gardens by the bay",5
This is one of the most beautiful hotels in the world. The three towers feature a rooftop garden and infinity pool. There is also numerous restaurants and a fabulous casino. The rooms are extravagant and offer incredible views. It is a pricey location though well worth it. ,5
lovely hotel very clean but be careful it is expensive especailly if you like a bottle of red wine the cheapset bottle was 50 singapore dollars and even outside the hotel to eat and drink it was just as expensive something to do with a double tax on alcohol . if i do this trip again i would stay in another not so expensive hotel but you defiantly need to experience the roof top infinity pool which you can do for about 15 singapore dollars if you are not staying there. I would also recomend you stay slighty more in town/city as you need to get taxis every where and this also is expensve.,4
"Great view, Food can be improved not many to choose from. Overall food quality is above average. With the price We expected better quality.  The journey up to 57th floor is a bit troublesome. Queue was Long, no chairs for elderly to rest while waiting.  The restaurant que was blocking the lifts lobby, we had some difficulty while waiting to take the lifts. ",4
"So........we went for the pool.......really!! Just hordes of people standing in the water taking photos of themselves. We should have known better. Just not worth it. Checking in or doing anything involves a slow queue, the staff are efficient but there are not enough of them. The wait time for everything was ridiculous.  The security is good though, you can't do anything without your keycard and/or passport so despite all the people it seems safe.  The rooms are comfortable, the a/c terrible, the view magnificent, room service great and overall it is a very good hotel, just too big for us. ",4
"The decoration for the room was nice, the bed was comfortable, and the view was fantastic. The staff was friendly and the check in process was fast . Besides, a lot of nice restaurant and entertainment casino there was the best match.",5
"My husband and I came to Singapore many times for business. We stayed at different hotels each time. Marina Bay Sands is certainly something we don't want to miss. This hotel has opened many years and this time we finally decide to stay here, after staying at several fascinating hotels which we repeatedly returned.  This hotel lobby has many people and feels very busy. Many tourists come even they are not staying guests. But the pool is reserved for guests only. We enjoy the pool especially at night. It is fascinating to enjoy the Singapore night view from the pool.  The mall nearby is not crowded and it's quite nice to walk around before the water area to have some chilly air after a day's heat.   I like a quiet place so this hotel isn't my cup of tea. But I think the swimming…",5
"After hearing so much  about Marina Bay Sands I was expecting a lot. It was expensive with the most uncomfortable beds (unbelievably hard). Mould in the shower was also  nasty,It's two redeeming  features were the great shops and restaraunts. The pool has amazing views but way to busy and forget getting a lounge chair.",2
