Comments,Ratings
"First of all, the location is Great for going out and shopping. One thing that I appreciate is when the hotel management and talent recognise you are return guests, a small thing maybe but it shows that they appreciate your patronage enough to remember you have been before. This was my second stay. The check in was quick and easy, rooms ready upon arrival. The pool was my next stop where i spent hours each day! What a gorgeous pool!",4
"Standard rooms are decently spacious, not the very best, the upgraded rooms we got were very spacious. Hotels is very clean, staff are friendly and professional, gym is nice big size and spa is great. Infinitely pool is amazingly beautiful. Breakfast selection is really really wide, with decent number catering to vegetarians. Very costly thou I must say, everything from the rooms to additional child for breakfast to the spa etc",5
"If you have the opportunity to spend a few days at this hotel. It is amazing. I was there for a convention. So sorry for the ones who could not book this place. Great rooms, amazing services. The pool on the top of the world looking over downtown Singapore. OK, pricey say the least but we'll worth it. The gala facilities, awesome! Certainly the place to stay in Singapore. ",5
"The price really reflects the luxury! Escalators will take you right into a designer shopping centre. The infinity pool is magical at night! The rooms are so spacious... I'm sure I could have held a small party in the bathroom! The bell boys are really friendly and helpful and were so grateful for a tip. The hotel holds a light show every night and it's well worth watching. People were in awe of it. If you're looking for cheap eats and a more authentic vibe, then I highly recommend going to the Makansutra!! (Approx. 20 mins walking distance from hotel) Our taxi driver absolutely insisted on taking us here as opposed to going to China Town. ",5
"The Orchid suite is enormous and very comfortable. THE swimming pool certainly has the wow factor and is enjoyable when not very busy, especially thanks to the provision of a separate area for families with children. The marina/city views from the 24th floor are spectacular and truly unique. The club facilities on the topmost floor provide the few privileged executive guests with an oasis of quiet and calm and spare them the breakfast queues.  The restaurants are expensive and one can, in all honesty, eat better at the hawker stalls either on the food floor of the attached shopping mall, or, even better, at the open air ones at the other end of the bay by the National Opera. The hotel is an architectural conundrum. It is certainly impressive, vast, and has many other unique…",4
This is such an incredible Place to be. We were lucky and got an upgrate for a Suite in the 54th floor for free. the poolarea is amazing. If you go to singapore you NEED to stay there. This is an absolutly must do!,5
"This hotel is busy and crowded, but the rooms are beautiful and the higher you go up the towers the less you hear. Our room was large and spacious with a great/relaxing bathroom. The bed was big and comfortable. Wifi is not included in the room and costs 20SD for 24 hours. You can get this refunded if you join the rewards scheme, but the desk isn't always open. The hotel is ideally located for the mall and casino but there isn't direct access to the Gardens By the Bay. The pool is stunning but crowded so it is lovely to go and see but isn't somewhere to spend the afternoon relaxing. All in all it is worth visiting but I wouldn't go back.",4
This is one of the more populare stays in Singapore. Their pool is world famous and over look the whole city. There are many pros and cons when you visit the most popular hotel in town. If you hit a day when it is not over crouded you are in luck 💞,4
"We enjoyed staying at Marina Bay sands Hotel. Rooms are very clean. Room service twice a day and very good. Free wifi everywhere and you will have access to the sky park and the rooftop pool which is hell of an experience. The only negative point was that they didn't let us in the Casino, because they check your passport and certain countries passport holders are not permitted, which  was very very disappointing and to me a racist manner.  ",5
"Visit MBS every year but my family still get excited whenever we plan our stay for the weekend.Sill prefer the room facing the sea with stunning view especially the night with fire work & magnificent skyline.The rooftop infinity is amazing,we just love it.Room service is abit expensive & we decide to rent a refrigerator & buy our beer & wine,food from cold storage which is located in the mall & chill our night in the room.Looking forward for our stay next year......",4
"A staycation at MBS as a bday surprise for hubby. The rooms are very spacious. We were very excited about the infinity pool but it feels like you are at a tourist  spot super crowded with people!! They should have a swimming pool for people who actually want to enjoy a nice swim. For budget travellers, need to book much much in advance to get a value for your money.",4
"I stayed at this hotel as I was attending a conference in Singapore . The hotel is amazing and has spectacular views from the amazing infinity pool, the room I had was a suite and very spacious and the staff are very attentive even though it is a huge hotel . Breakfast in the morning is very busy and you will have to cue to get into the restaurant which is a little annoying , but I would recommend a stay there as this was the only fault.",5
"I left this hotel speechless. Staying in a City View room I could not have asked for anything more perfect. The View was amazing, the room was spotless and the staff were extremely friendly. This hotel truly made our Singapore adventure amazing. The pool is of course the highlight of the resort and we did spend most of the time gazing over the city from there. Thank you Mylene for your excellent hospitality.",5
"We just had one night here as a stopover point en route to New Zealand. Chose the hotel purely on the brochure pictures of the infinity pool on the hotel roof. Our flight got into Singapore at 10.30am and we therefore arrived at the hotel around 11.30am - well before the normal check-in time of 3.00pm. We chose to pay an upgrade cost to have a city view club room (which we could have immediately) and this was well worth it. The benefits associated with the club room (which was huge) included afternoon tea,breakfast and evening drinks and canapes all taken at The Club on Floor 55. The service throughout the hotel was very good but we thought that the staff who served us at The Club were exceptional. The pool lived up to expectations and was fairly quiet during the day but a…",5
"I had been waiting to stay in this expensive hotel and finally gotten my chance. The building structure with a ship on top of their three towers is of course the most attractive thing that would caught anybody's attention. The Infinity Pool was beautiful yet short, however it's not so bad, afterall it's for staycation, not expecting a large pool for Olympics.. Lol. However they have limited number of access to the pool per room then.  Reaching to Marina Bay Sands is convenient by train at Bayfront MRT Station. The shopping mall known as The Shoppes is also easily access through the connection and if you have loves for Brands then The Shoppes is definitely for you. There is the Gardens by The Bay which is also accessible from the hotel through a bridge. Beautiful place to go…",3
"While we didn't get the full experience because of the forest fire (the sky was full of smoke), we had a great time at the Marina Bay. The pool and the bars on the roof are a must do. The overall complex is very luxurious. The restaurants are all good and the staff very friendly.",5
"Visited MBS again this year . As usual everything seemed perfect from Valet Parking / Checkin to Dining and room service. The only blooper was a torn towel (it had a big big hole , not to be missed ) , I didn't complain though. But I was definitely shocked to see it. Apart from that breakfast buffet always remains my favorite . I only wish that they had same spread at 57th as at rise. Further I think they need to be a bit particular about not allowing guests to jump into infinity pool , with T-Shirts and Shorts on. A proper swimming attire should be a must. All in All enjoyed  great hospitality and a pleasurable stay.",4
"Such an awesome hotel,amazing views from the stunning infinity pool on the 57th floor.  It may be expensive but it's worth every penny.  the staff are amazing and can't do enough for you,the poolside staff remember your name and ask about your trip even if they haven't seen you for a couple of days. Such a relaxed atmosphere,can't fault it and I can't wait to go back. The must place to stay ",5
"This had to be one of the nicest hotels I have stayed in yet. My girlfriend and I spent 3 nights there for our anniversary and it was one of the best trips we have done. I will say this place is not for those looking for a budget vacation by any means. I also strongly recommend getting a club room with a city view as it really makes it worth while.  The infinity pool on the roof is everything it is hyped up to be with an amazing view of the city and just an experience like no other it is definitely worth staying in this hotel just for that alone. There are tons of restaurants throughout the hotel that are also fantastic. Along with Spago by Wolfgang Puck, which has amazing food is on the rooftop as well. I'd strongly recommend their Angus Beef hamburger.  As we stayed in a club…",5
"Even though you cannot access the infinity pool, Marina bay sky deck is a perfect place to view the skyline of Singapore. Visit there during the evening hours between 5:30-7:00 pm as one can enjoy the beautiful sunset and amazing views of the Singapore skyline.   Visit to this deck would cost you $23(Singaporean) but its worth it. You can also sit on the sky bar and order drinks, bit pricey but good for an experience. If you decide to go to the bar please make sure you don't wear shorts or slippers, proper attire is required!",5
This is my second time in this hotel and it was even better than the first. On my first visit didn't really have the time to enjoy my stay. But this time I did. The room was as amazing as before a bit smaller but still quite bad g. With this time the bed facing the amazing view of the bay ( witch is a better set up than previously. The bathroom was extremely clean and amazing the bed so comfortable. The pool and the staff there always as amazing. The room service and breakfast m the room was amazing ( but they should add an additional chair to the room ). Just a wonderful stay in that amazing hotel.,5
"I spent two nights at the Marina Bay Sands in a city view room.  I am definitely glad I paid extra for the city view -- it was awesome!   I can't imagine staying for any period of time more than 2-3 nights given the price/cost/benefit.  While the staff were exceptionally attentive, there were still delays in reception, checkin/checkout (there is probably an online/sms/etc way to do it), baggage check, simply due to sheer volume.  The hotel feels a bit like a factory as there are loads of people around.  The pool is beautiful, and there is plenty to do in the area (for example, see the gardens), and the hotel is also connected to an MRT station.  I had a great time at the hotel.",4
"One of the best hotels concerning location, facilities (shops, bars, restaurants, gym, casino), rooms and ofcourse the swimming pool and skydeck. That infinity pool is one of the largest and best pools I have ever seen. Really amazing!",5
"This week I visited MBS with my family and thoroughly enjoyed two nights / three days stay. The hotel had so much to offer us – great view (both city side and garden side), location with easy accessibility (taxi, MRT, buses), adjoining to tourists places, shopping malls & food joints, plenty amenities (both within the hotel and in-room), humble and helping staff; last but not the least – the infinity pool which makes you swim at top of the world!",5
"Staying at Marina Bay Sands was one of our holiday highlights, in particular having breakfast on the roof - the western/eastern buffet includes an a la carte menu choice. I chose the 2 hour slow cooked eggs and was initially regretting my choice when they appeared so watery and with the tiniest portion of ham but to my great surprise it was sensational, a real foodie delight.   Best views in Singapore - we watched the evening hi tech light show from our room. However, it would be even better from the roof with a cocktail and fresh oysters. The night time views are absolutely stunning.  Large luxurious room (no bathtub). Excellent service. We only had 1 night but loved it and would definitely stay again for longer (2-3 nights) and try more of what is on offer.",5
"i love the pool most in that hotel, the view is amazing, rooms are comfortable and the service is brilliant.  Singapore not my favorite city but the hotel is worth to come back again. the breakfast offer is big but to expesive if u need a small breakfast. in the area u wont find anything for lower budget. otherwise a top hotel",5
If you want to experience a unique pool on top of the building & have 360 view of Singapore you should stay here for 1 night but I won't recommend for more.  Because with very high price but not included breakfast is a huge mistake for a high quality hotel. The quality of the room is just ok compare with that price.,3
"No question, the views from the rooftop and its pool are stunning. But you have to expect a very industrialized product facing serious quality issues: delays at taxi drop off (one of 5 lanes to give you an idea of the scale), waiting time at check-in and elevators, bathroom smelly, toilet not perfectly clean, little insects in bathtub, slow sink, sand in bed (has to do with the name, I guess), no furniture at all on balcony, access to rooftop secured like London tube (don't you dare to forget the 2nd keycard for the 2nd person). To wrap it up: for one night in life it might make sense due to the rooftop. Not one day longer.",2
"We stayed here on our way back from Australia to London for one night. It is  clearly a high end hotel, and the room was amazing. We had a late check out so spent most of our day by the pool- an amazing view over the City. I did at time feel the pool staff were a little pushy about buying drinks. We had lunch at the pool restaurant instead of by the pool, and the food and staff were very nice. The hotel is huge, and it is impressive how it is run... But I am not sure I could spend more then a few nights here. It felt constantly busy (which you would expect), which was fine for one night but maybe not for a longer stay. ",4
"Standard Hotel Rooms are similar to other Five star hotels, Just to experience the Infinity pool I chose this property. Pool experience is awesome, You can enjoy the Singapore city from the Pool and have few cocktails on the chair. They have few resturants and clubs on the roof. We got garden bay view, it was breathtaking. like we are looking at a fantasy world. You need to have key card to access the Pool. so each guest should carry the card always. Hotel has a big mall down , you can enjoy the shopping. They have supermarket also down. Chek in time was more than 20 minutes. Bed sheet and pillow covers had bad smell.",4
Top class hotel in prime location. Book a room overlooking the Bay Gardens above the 40th floor in the 'Club' section. This gives access and entry to the infinity pool. which is spectacular. Rooms and suites on this side give unlimited views of the Straits. Room was very comfortable with every facility.,5
"The ease in check-in, check-out,  cleanliness and privacy in this prestigious hotel is admittedly some of its good points. And though it's not our first time in Marina Bay Sands for shopping and dining, the first time we stayed in the MBS hotel somehow left a negative impression to us. Early this year, we decided to stay in Singapore's most luxurious hotel to celebrate my husband's birthday. The suite assigned to us was impressive, tidy, comfortable, with the great view of the Gardens by the Bay, and having complete amenities that you can expect for a S$600-800/night stay. A complimentary cake for the celebrant even made an added positive point to our already good impression with MBS. But the fond memories of having experienced the above plus a good dip and breakfast by the…",3
"MBS is something everyone should experience for a night. But in the end, it is still a hotel. The famous infinity pool is scenic, but after 30 minutes, the initial ""wow"" factor is gone. The rooms are nice and spacious. The amenities are plentiful, but quite expensive (if you take a taxi, you can find better spas for half the price). The service is also good.  The reason for the 3 rating is the price. Everything was a 4: service, rooms, food, etc. But it is one of the more expensive experiences. You should do this once. But if you want true luxury at the same price, you should take a short trip to Thailand or Bali. In the end, you are paying for a unique experience in an iconic building in one of the more expensive cities in the world.  When you do stay, book a package. The food…",3
"The hotel is BIG. I had a nice room, balcony and view. I will say that the breakfast buffet on the main lobby was not that great. Too busy and the  food was not that flavorful. One of the draws is the infinity pool, which is nice. However if you go mid day and onward, it will be packed. Clean rooms and service was good.  Plenty of restaurants, but pricey, but if staying there I doubt that will be a problem.  I liked it, but would stay at a smaller hotel next time around.",4
"I stayed with my 2 kids in one room, room is big and modern but lacks warmth, had to call a few times to get the 3rd bed in the room. Bathroom is big and nice but let down by lack of power from the shower. Sky gardens and pol are very nice as is the food. Check -out was a nightmare, takes too long ....at one stage for 10 minutes just one lady behind the desk.....at 12.30? Not good. Overall experience bit mixed...good and bad things....however for the price you expect more.",3
"Okay so I was extremely lucky and got to stay in the presidential suit. As I'm sure you can imagine it was fantastic. Huge! 3 bedrooms. All with en suit bathrooms with the master bedroom having a 'his' and 'hers' bathroom (yeah there were 2 bathrooms to this one huge bedroom all the bathrooms had jacuzzi style baths and huge showers, my favourite though (which freaked me out at first) was the automatic toilets; the lids lifted and fell on their own on a motion sensor, they flushed on their own and the seats were heated! there were a bunch of other buttons I didnt play with, but when I left and came back to reality the toilet was absolutely the thing I missed a surprisingly big amount (haha). there are 2 living rooms and a giant round dining table a karaoke room study 'gym' - a…",5
Landmark hotel in Singapore at a central location. It has several attraction within and around hotel. However the highlight is Infinity pool on roof top giving a breathtaking view of the city. Near by shopping mall and casino are must to visit,5
Stunning hotel but not like any 5 star I've visited before - due to the high number of guests checking in and out constantly it's very impersonal. The pool is definitely the highlight - would recommend getting up there for sunrise as it's stunning and a very surreal experience. The gym is also great and the staff in there were lovely.   We arrived at 6am and weren't able to check in early however were given access to the pool area and our bags were stored for us. They also held our bags for checkout which was helpful.   Glad we stayed there for the experience but most likely won't be back.,4
We stayed here for four nights on the start of our round the world trip.  We had a club room on the 49th floor facing towards the city. The room wasn't ready when we arrived at 10am but we were given wifi access and cards to go to the pool if we wanted. The view from the room was amazing being so high up and the room itself was massive. Couldn't really fault it. Housekeeping were very good too. The club staff we very friendly at morning for breakfast and at the 5pm-7pm canapés and drinks. Lots on offer and the champagne was free flowing. The staff were very attentive and remembered your name.  This hotel though is all about the pool. It's breathtaking. We went mostly at night and it wasn't that busy but still warm and the most amazing views. Nobody is really swimming - unless…,5
Marina Bay is one of the reasons I want to return to Singapore. It's an impressive display of architecture combined with the given natural beauty.,5
"The hotel is the best thing in Singapore. Not only the hotel but everything around is perfect. The prices follows the luxury and the infrastructure, they are high!! I recommend 2 day in The Marina Bay Hotel, is enough to join the pool and the attractions around!",5
"I stayed at the Marina Bay Sands for a work conference, and it was a great location. Very busy, and a not cheap, but I would definitely stay here again. The highlight is of course the infinity pool on the roof, which just has the most amazing view of Singapore. They pool is very long, and there is an adults only section near the entrance above Tower 3. At first the pool seems very busy, but what you actually find is a lot of people only come in quickly for 15 mins, take some photos and then move on, so it's actually quite easy to find a lounger if you want to lay out and relax. The breakfast buffet is about $40USD, but it is a feast! So much food to choose from, and the shopping centre connected is full to the brim with amazing store.",4
Top floor is amazing as one can see the from the hotel photo and need not have to mention. One pays a high rate for the swimming pool and view. Excellent. Would recommend when one plans to use the hotel and hotel area. If going for the first time to Singapore as a tourist and will be out most of the time than can plan for your next visit unless one is loaded.,4
"I travelled in Asia for 4 months and decided to end my trip here. It was awesome! I checked in early, and took a swim in the infinity pool. I ate a lovely dinner at the restaurant and went to the endless chocolate bar!   The room was breathtaking with a window from top to bottom. Loved it! I also explored the Gardens by the Bay, the Shoppes and Clarke Quay nearby.",5
"We usually avoid such hotels, but this one was a must during our trip to Singapore. Although a tourist hype, the place is actualy comfortable and really nice once you're in the guest areas. Rooftop pool is almost always packed, but also a must.",5
"We stayed in Tower 3 on the 46 floor. Magnificent views from the room and from the infinity pool make this hotel worth staying at least once in a lifetime. WiFi works well, requested an extra blanket and got it in 10 minutes together with  two extra bottles of water. No tea or coffee provided, though there is a kettle in the room. If you don't want to leave a deposit of SGD 200, tell at the reception that you are not going to use a minibar. Wonderful experience. ",5
